# id	language	word	English	structural	semantic	PoS	comment	example
71	ca	per començar	to begin with	--	context, equality			
72	ca	per exemple	for example	elaboration	equality	A		
73	ca	per si	in case	elaboration	cause	P		
74	ca	per tant	so	continuation	cause	A		
75	ca	per una banda	on the one hand	continuation	equality	A		
76	ca	però	but	continuation	revision	P		
77	ca	perquè	because	elaboration	cause	P		
77	ca	perquè	so that	continuation	cause	P	perquè / per in Catalan these discourse markers are underspecified with respect to structural meaning, they can be equivalent to so that / to [ex] or to because / because of [ex].	
77	ca	perquè						Avui sento por perquè han declarat impunes tots els caps d'Estat. Today I feel frightened because all heads of State have been declared impune.
77	ca	perquè						La Generalitat ha fet una crida a la solidaritat perquè s'ocupin aquestes cases. The Generalitat has made a call to solidarity so that these houses are occupied.
78	ca	precisament	precisely	elaboration	equality	A		
79	ca	quan	when	elaboration	context	P		
80	ca	que	that	(vague)	(vague)			
81	ca	respecte de	with respect to	continuation	context	P		
82	ca	segons	following	elaboration	context	P		
83	ca	sempre que	whenever	--	context	P		
84	ca	sens dubte	no doubt	--	context	A		
85	ca	sense	without	(vague)	(vague)			
86	ca	si	if	--	context	P		
87	ca	sinó també	but also	continuation	equality	P		
88	ca	sobre	about	continuation,	context elaboration			
88	ca	sobre	over	continuation,	context elaboration			
89	ca	sobretot	above all	--	equality	A		
90	ca	tal com	such as	elaboration	equality	P		
91	ca	també	also	--	equality	A		
92	ca	tan aviat com	as soon as	elaboration	context	P		
93	ca	tot i això	even though	continuation	revision	A		
94	en	about		continuation,	context elaboration			
95	en	above all		--	equality	A		
96	en	actually		continuation	revision	A	actually / in fact their primary meaning is marking evidentiality [ex], but they tend to be structurally equivalent to however, as we have shown using multiple alignment techniques (Alonso et al. 2004). In English their evidentiality meaning is more predominant than the revision meaning, and so their contribution as discourse markers of revision is only reliable when it co-occurs with other discourse markers also signalling revision [ex] or in certain punctuation contexts [ex], although they can also signal revision without any of these further evidence [ex]. In Spanish and Catalan their primary meaning is revision ( [ex] and [ex]), respectively) comparable to it is true that. The kind of revision that these discourse markers tend to convey in Spanish and Catalan is correction (a prototypical example of correction would be: ``This is not black, but white.''). We can speculate that the reason why the revision meaning of these discourse markers is more primary in Spanish or Catalan than in English is because in these languages the correction meaning tends to be expressed by discourse markers, as can be seen in the fact that it is lexicalized (sinó, sino), while in English it is covered by the all-purpose revision discourse marker but, and correction is only distinguished from other kinds of revision by other linguistic features.	
96	en	actually						They could also help themselves by thinking through a problem before phoning the support desk. In many cases a user will actually solve his or her own problem while on the phone to Neptune!
96	en	actually						Standardisation has never been the IT industry's strong point, and the answer is "probably not". However, they don't actually all do the same job.
96	en	actually						He then argues that "it is not sufficient (for me) to tell the conference that there will be no return to mass picketing". Actually, I never mentioned picketing, mass picketing or otherwise, in my speech, but let that pass.
97	en	after		elaboration	context	P		
98	en	against		(vague)	(vague)			
99	en	also		--	equality	A		
100	en	although		elaboration	revision	P	however differs from although in their values for continuation or elaboration, although each of them can be used to rephrase the other in some contexts, however is attached to the segment that indicates continuation, although is attached to the segment that indicates elaboration.	
101	en	and		(vague)	(vague)			
102	en	anyway		--	revision	A		
103	en	as a consequence		continuation	cause	A		
104	en	as soon as		elaboration	context	P		
105	en	at		(vague)	(vague)			
106	en	at the same time		--	context	A		
107	en	because		elaboration	cause	P		
108	en	because of		elaboration	cause	P		
109	en	before		elaboration	context	A		
110	en	besides		--	equality	A		
111	en	between		elaboration	context	P		
112	en	but		continuation	revision	P		
113	en	but also		continuation	equality	P	not only ... but also	
114	en	by means of		elaboration	context	P		
115	en	by the way		continuation	equality	A		
116	en	considering		elaboration	context	P 		
117	en	despite		elaboration	revision	P		
118	en	due to		elaboration	cause	P		
119	en	during		elaboration	context	P		
120	en	essentially		elaboration	equality	A	in sum / essentially convey an elaborative relation because they repeats information that has already been given, even if this information is given in a shorter form. The utilitty of these discourse markers for automatic summarization is an ad-hoc property, subject to the task and not to their effects with respect to coherence and relevance assessment. Therefore, it has to be treated by manually creating a special rule that overrides general discursive rules.	
121	en	even though		continuation	revision	A		
122	en	except		elaboration	revision	P		
123	en	far from		elaboration	context	P		
124	en	first of all		--	context	P	first of all / to begin with as many discourse markers, these are lexically underspecified with respect to elaboration or continuation, they can reinforce progressive and elaborative relations that are actually signalled by means other than this discourse marker. They are also ambiguous between context and equality. If it is part of a sequence, as in example [ex], it will signal equality, if not, as in example [ex], it will signal context. By default, we ascribe it to context, and only if there is enough evidence is it ascribed to equality.	
124	en	first of all		--	context, equality			
124	en	first of all						In Four Saints Thomson's informality was given free reign since he first of all improvised the music at the piano then, when it stuck, wrote it down to a figured bass.
124	en	first of all						"We are a bit of a way from that. But I certainly believe, first of all, we have to give what help we can," said Mr Hurd.
125	en	following		elaboration	context	P		
126	en	for example		elaboration	equality	A		
127	en	for the moment		elaboration	context	A		
128	en	for this reason		continuation	cause	A		
129	en	given that		elaboration	cause	P		
130	en	however		continuation	revision	A	however differs from although in their values for continuation or elaboration, although each of them can be used to rephrase the other in some contexts, however is attached to the segment that indicates continuation, although is attached to the segment that indicates elaboration.	
131	en	if		--	context	P		
132	en	in		(vague)	(vague)			
133	en	in accordance with		elaboration	context	P		
134	en	in any case		continuation	context	A	in any case indicates continuation and context. It seems to have effects comparable to revision, but it is hard to find what is denied. It seems that it has contrastive functions, which can be best attributed to the properties of continuation than to any possible revision. It is comparable to topic-based but, but in that case there seems to be more correlation with items signalling negative polarity, which seems to support an interpretation as revision. In this respect, it is different from anyway, which always conveys revision.	
134	en	in any case						In truth, however, humble photocopying has been overtaken by the wonders of the fax and personal computers complete with printers. Whatever the price of these latter (20 times their cost in the West) and reinforced customs procedures for their import, they are finding their way in. The controls in any case are surely doomed to fail.
135	en	in case		elaboration	cause	P		
136	en	in comparison		elaboration	equality	A		
137	en	in conclusion		continuation	cause	A	in conclusion while it looks similar to in sum, this discourse marker tends to convey new information, not to rephrase it. Compare the following example with the example for in sum. With respect to the effects on coherence and relevance, it is comparable to consecutive discourse markers like that's why or so then, which can also signal relations that are not motivated by a causal relation in the real world, but have the same rhetorical strength as those that are motivated by a real causal relation. It is comparable to in effect.	
137	en	in conclusion						The European Court further ruled in this case that Arts 48 and 59 of the EC Treaty do not prevent a member state from requiring that the exercise of the profession of auditor in that state by a person qualified to carry on that profession in another member state be conditions which are objectively necessary to guarantee observation of professional rules concerning the permanence of the infrastructure in place for the completion of the work, the effective presence in the member state and assurance of the observation of professional ethics, unless respect for such rules and conditions is already guaranteed by a reviseur d'entreprises, whether a natural person or a firm, established and recognised in the state, and in whose service is placed, for the duration of the work, the person who intends to exercise the profession of auditor. In conclusion, one has to wonder whether the borders are in fact open.
138	en	in effect		continuation	cause	A		
139	en	in fact		continuation	revision	A	actually / in fact their primary meaning is marking evidentiality [ex], but they tend to be structurally equivalent to however, as we have shown using multiple alignment techniques (Alonso et al. 2004). In English their evidentiality meaning is more predominant than the revision meaning, and so their contribution as discourse markers of revision is only reliable when it co-occurs with other discourse markers also signalling revision [ex] or in certain punctuation contexts [ex], although they can also signal revision without any of these further evidence [ex]. In Spanish and Catalan their primary meaning is revision ( [ex] and [ex]), respectively) comparable to it is true that. The kind of revision that these discourse markers tend to convey in Spanish and Catalan is correction (a prototypical example of correction would be: ``This is not black, but white.''). We can speculate that the reason why the revision meaning of these discourse markers is more primary in Spanish or Catalan than in English is because in these languages the correction meaning tends to be expressed by discourse markers, as can be seen in the fact that it is lexicalized (sinó, sino), while in English it is covered by the all-purpose revision discourse marker but, and correction is only distinguished from other kinds of revision by other linguistic features.	
139	en	in fact						Amnesty warmly welcomed the release of prisoners of conscience and the repeal of certain articles, but has urged that the legislation be extended to include reform or repeal of further articles of the Turkish Penal Code, under which POCs may be held. The new law may in fact increase the already serious risk of torture facing political detainees.
140	en	in order to		continuation	cause	P		
141	en	in other words		elaboration	equality	A		
142	en	in particular		elaboration	equality	A		
143	en	in short		--	equality	A	in short is ambiguous with respect to continuation or elaboration, because the discourse unit to which the discoruse marker is attached can sometimes contribute new information, as in the following example.	
143	en	in short						The authors maintain that the role of women in the Tigrayan society is still closely linked to their status in the feudal system. 1975 women were treated as children. They were not allowed to own land nor speak. In short women were at the bottom of the hierarchy of oppression with no rights of any kind.
144	en	in spite of		elaboration	revision	P		
145	en	in sum		elaboration	equality	A	in sum / essentially convey an elaborative relation because they repeats information that has already been given, even if this information is given in a shorter form. The utilitty of these discourse markers for automatic summarization is an ad-hoc property, subject to the task and not to their effects with respect to coherence and relevance assessment. Therefore, it has to be treated by manually creating a special rule that overrides general discursive rules.	
146	en	in that case		continuation	context	A		
147	en	incluso		--	equality	P		
148	en	it is true that		continuation	revision	P	it is true that in contrast with actually or in fact, its primary meaning is revision, like en realidad, en realitat, de fet, de hecho in Spanish and Catalan.	
149	en	lastly		continuation	equality	A	lastly unlike first of all or to begin with, and like secondly, thirdly, this discourse marker is not ambiguous, because it requires a context of sequence to be felicitous.	
150	en	like		elaboration	equality, context, cause			
151	en	moreover		--	equality	A		
152	en	neither		(vague)	(vague)			
153	en	nevertheless		continuation	revision	A		
154	en	no doubt		--	context	A		
155	en	nor		(vague)	(vague)			
156	en	not only		continuation	equality	P	not only ... but also	
157	en	on the contrary		continuation	revision	A		
158	en	on the one hand		continuation	equality	A	on the one hand / on the other hand like lastly, they require a sequence context to be felicitous, so they are not ambiguous with respect to their structural or semantic meaning, but their ambiguity with respect to scope varies greatly. If they co-occur [ex], their scope can be determined if we consider that the scope of on the one hand reaches until the point of occurrence of on the other hand, and that the latter has a scope of an equivalent size. However, if on the other hand occurs alone, its scope is very hard to determine automatically, and probably also by human judges.	
158	en	on the one hand						It does occur to Fukuyama that religion might have some sort of unease to express with all this, but he appears to conceive of religion under only two modes. On the one hand, there is fundamentalist counter-ideology, the Islamic theocratic state. This, it is to be assumed, his liberal readers may take seriously as a threat, but hardly as an option. And on the other hand, there are "less organised religious impulses", religion as individual preference. This he knows can readily be accommodated another sort of consumer commodity, "within the sphere of personal life permitted in liberal societies".
159	en	on the other hand		continuation	equality	A	on the one hand / on the other hand like lastly, they require a sequence context to be felicitous, so they are not ambiguous with respect to their structural or semantic meaning, but their ambiguity with respect to scope varies greatly. If they co-occur [ex], their scope can be determined if we consider that the scope of on the one hand reaches until the point of occurrence of on the other hand, and that the latter has a scope of an equivalent size. However, if on the other hand occurs alone, its scope is very hard to determine automatically, and probably also by human judges.	
159	en	on the other hand						It does occur to Fukuyama that religion might have some sort of unease to express with all this, but he appears to conceive of religion under only two modes. On the one hand, there is fundamentalist counter-ideology, the Islamic theocratic state. This, it is to be assumed, his liberal readers may take seriously as a threat, but hardly as an option. And on the other hand, there are "less organised religious impulses", religion as individual preference. This he knows can readily be accommodated another sort of consumer commodity, "within the sphere of personal life permitted in liberal societies".
160	en	or		(vague)	(vague)			
161	en	originally		elaboration	context	A		
162	en	over		continuation,	context elaboration			
163	en	precisely		elaboration	equality	A		
164	en	provided that		elaboration	context	P		
165	en	since		elaboration	cause, context			
165	en	since		elaboration	cause, context			
166	en	so		continuation	cause	C		
167	en	so that		continuation	cause	P		
168	en	specially		--	equality	A		
169	en	specifically		elaboration	equality	A		
170	en	such as		elaboration	equality	P		
171	en	thanks to		elaboration	cause	P		
172	en	that		(vague)	(vague)			
173	en	that is to say		elaboration	equality	C		
174	en	that's why		continuation	cause	A		
175	en	the fact is		continuation	revision	P		
176	en	then		continuation	context	A	then is characterized by the two least marked meanings in each dimension, which makes it very close to narration.	
177	en	thus		continuation	cause	A		
178	en	to		(vague)	(vague)			
179	en	to begin with		--	context	P	first of all / to begin with as many discourse markers, these are lexically underspecified with respect to elaboration or continuation, they can reinforce progressive and elaborative relations that are actually signalled by means other than this discourse marker. They are also ambiguous between context and equality. If it is part of a sequence, as in example [ex], it will signal equality, if not, as in example [ex], it will signal context. By default, we ascribe it to context, and only if there is enough evidence is it ascribed to equality.	
179	en	to begin with		--	context, equality			
179	en	to begin with						Police say that cars are being stolen to be resold in car-starved east European countries. To begin with, thieves went for the likes of Golf GTis and BMWs, but now bread-and-butter cars are also being taken.
179	en	to begin with						But there never was a threat to a new German-American special relationship, since there never was such a special relationship to begin with.
180	en	towards		elaboration	context	P		
181	en	unless		elaboration	context	P	unless even if it has inherent negative polarity, it does not convey revision, but context, comparable to if or in case.	
182	en	until		elaboration	context	P		
183	en	well now		continuation	revision	A		
184	en	what's more		--	equality	A		
185	en	when		elaboration	context	P		
186	en	whenever		--	context	P		
187	en	where		elaboration	context	P		
188	en	while		elaboration	context	P		
189	en	with		(vague)	(vague)			
190	en	with respect to		continuation	context	P		
191	en	without		(vague)	(vague)			
192	es	a	at	(vague)	(vague)			
192	es	a	to	(vague)	(vague)			
193	es	a condición de	provided that	elaboration	context	P		
194	es	a la vez	at the same time	--	context	A		
195	es	a no ser que	unless	elaboration	context	P		
196	es	a pesar de	despite	elaboration	revision	P		
197	es	a propósito	by the way	continuation	equality	A		
198	es	además	moreover	--	equality	A		
199	es	ahora bien	well now	continuation	revision	A		
200	es	al contrario	on the contrary	continuation	revision	A		
201	es	antes	before	elaboration	context	A		
202	es	antes que nada	first of all	--	context, equality			
203	es	aparte	besides	--	equality	A		
204	es	así que	thus	continuation	cause	P		
205	es	aún es más	what's more	--	equality	A		
206	es	aunque	although	elaboration	revision	P		
207	es	como	like	elaboration	equality, context, cause			
207	es	como	since	elaboration	cause, context			
208	es	como consecuencia	as a consequence	continuation	cause	A		
209	es	con	with	(vague)	(vague)			
210	es	con todo	even though	continuation	revision	A		
211	es	concretamente	specifically	elaboration	equality	A		
212	es	contra	against	(vague)	(vague)			
213	es	cuando	when	elaboration	context	P		
214	es	dado que	given that	elaboration	cause	P		
215	es	de acuerdo con	in accordance with	elaboration	context	P		
216	es	de hecho	in fact	continuation	revision	A	it is true that in contrast with actually or in fact, its primary meaning is revision, like en realidad, en realitat, de fet, de hecho in Spanish and Catalan.	
217	es	de todos modos	anyway	--	revision	A		
218	es	debido a	due to	elaboration	cause	P		
219	es	desde	since	elaboration	cause, context			
220	es	después	after	elaboration	context	P		
221	es	donde	where	elaboration	context	P		
222	es	durante	during	elaboration	context	P		
223	es	e	and	(vague)	(vague)			
224	es	el hecho es que	the fact is	continuation	revision	P		
225	es	en	in	(vague)	(vague)			
226	es	en comparación	in comparison	elaboration	equality	A		
227	es	en conclusión	in conclusion	continuation	cause	A		
228	es	en cualquier caso	in any case	continuation	context	A		
229	es	en dos palabras	in short	--	equality	A		
230	es	en efecto	in effect	continuation	cause	A		
231	es	en ese caso	in that case	continuation	context	A		
232	es	en esencia	essentially	elaboration	equality	A		
233	es	en otras palabras	in other words	elaboration	equality	A		
234	es	en particular	in particular	elaboration	equality	A		
235	es	en realidad	actually	continuation	revision	A	it is true that in contrast with actually or in fact, its primary meaning is revision, like en realidad, en realitat, de fet, de hecho in Spanish and Catalan.	
235	es	en realidad						La idea inicial de Maragall fue celebrar una exposición internacional, pero ese propósito falló cuando alguien de su gabinete descubrió que habían llegado tarde para obtener el reconocimiento internacional para un acontecimiento de este tipo. En realidad poco importaba qué se hiciera. Tanto Clos como Maragall perseguían en esencia poner una nueva fecha al futuro de la ciudad.
236	es	en resumen	in sum	elaboration	equality	A		
237	es	entonces	then	continuation	context	A		
238	es	entre	between	elaboration	context	P		
239	es	es cierto que	it is true that	continuation	revision	P		
240	es	es decir	that is to say	elaboration	equality	C		
241	es	especialmente	specially	--	equality	A		
242	es	even	incluso	--	equality	P		
243	es	excepto	except	elaboration	revision	P		
244	es	gracias a	thanks to	elaboration	cause	P		
245	es	hacia	towards	elaboration	context	P		
246	es	hasta	until	elaboration	context	P		
247	es	lejos de	far from	elaboration	context	P		
248	es	mediante	by means of	elaboration	context	P		
249	es	mientras	while	elaboration	context	P		
250	es	ni	nor	(vague)	(vague)			
250	es	ni	neither	(vague)	(vague)			
251	es	no obstante	however	continuation	revision	A		
252	es	no sólo	not only	continuation	equality	P		
253	es	o	or	(vague)	(vague)			
254	es	originalmente	originally	elaboration	context	A		
255	es	para	in order to	continuation	cause	P		
256	es	para empezar	to begin with	--	context, equality			
257	es	para que	so that	continuation	cause	P		
258	es	pero	but	continuation	revision	P		
259	es	pese a	in spite of	elaboration	revision	P		
260	es	por	because of	elaboration	cause	P		
261	es	por ejemplo	for example	elaboration	equality	A		
262	es	por el momento	for the moment	elaboration	context	A		
263	es	por eso	that's why	continuation	cause	A		
264	es	por esta razón	for this reason	continuation	cause	A		
265	es	por otro lado	on the other hand	continuation	equality	A		
266	es	por si	in case	elaboration	cause	P		
267	es	por tanto	so	continuation	cause	A		
268	es	por último	lastly	continuation	equality	A		
269	es	por un lado	on the one hand	continuation	equality	A		
270	es	porque	because	elaboration	cause	P		
271	es	precisamente	precisely	elaboration	equality	A		
272	es	que	that	(vague)	(vague)			
273	es	respecto a	with respect to	continuation	context	P		
274	es	según	following	elaboration	context	P		
275	es	si	if	--	context	P		
276	es	siempre que	whenever	--	context	P		
277	es	sin	without	(vague)	(vague)			
278	es	sin duda	no doubt	--	context	A		
279	es	sin embargo	nevertheless	continuation	revision	A		
280	es	sino también	but also	continuation	equality	P		
281	es	sobre	about	continuation,	context elaboration			
281	es	sobre	over	continuation,	context elaboration			
282	es	sobretodo	above all	--	equality	A		
283	es	tal como	such as	elaboration	equality	P		
284	es	también	also	--	equality	A		
285	es	tan pronto como	as soon as	elaboration	context	P		
286	es	teniendo en cuenta	considering	elaboration	context	P 		
287	es	u	or	(vague)	(vague)			
288	es	y	and	(vague)	(vague)			
